Club,Player Name,Age,Position,Matches Played,Goals,Assists,xG per 90
Arsenal,Emile Smith Rowe,22,"MF,FW",12,0,2,0.14
Arsenal,Cédric Soares,30,DF,2,0,0,0.00
Arsenal,Marquinhos,19,MF,1,0,0,0.00
Arsenal,Ethan Nwaneri,15,FW,1,0,0,0.00
Arsenal,Mauro Bandeira,18,MF,0,0,0,0.00
Arsenal,Nathan Butler-Oyedeji,19,FW,0,0,0,0.00
Arsenal,Amario Duberry,17,FW,0,0,0,0.00
Arsenal,Karl Jakob Hein,20,GK,0,0,0,0.00
Arsenal,Nicolas Pépé,27,"FW,MF",0,0,0,0.00
Arsenal,Matthew Smith,21,MF,0,0,0,0.00
Arsenal,Lino Sousa,17,DF,0,0,0,0.00
Arsenal,Matt Turner,28,GK,0,0,0,0.00
Arsenal,Reuell Walters,17,DF,0,0,0,0.00
Chelsea,Kai Havertz,23,"FW,MF",35,7,1,0.41
Chelsea,Kepa Arrizabalaga,27,GK,29,0,0,0.00
Chelsea,Thiago Silva,37,DF,27,0,2,0.06
Chelsea,Raheem Sterling,27,"FW,MF",28,6,3,0.29
Chelsea,Marc Cucurella,24,DF,24,0,2,0.02
Chelsea,Kalidou Koulibaly,31,DF,23,2,1,0.05
Chelsea,Mason Mount,23,"MF,FW",24,3,2,0.11
Chelsea,Ruben Loftus-Cheek,26,"MF,DF",25,0,1,0.05
Chelsea,Conor Gallagher,22,MF,35,3,1,0.14
Chelsea,Trevoh Chalobah,23,DF,25,0,0,0.05
Chelsea,Enzo Fernández,21,MF,18,0,2,0.05
Chelsea,Mateo Kovačić,28,MF,27,1,2,0.09
Chelsea,César Azpilicueta,32,DF,25,0,0,0.02
Chelsea,Ben Chilwell,25,"DF,MF",23,2,2,0.09
Chelsea,Jorginho,30,MF,18,2,0,0.12
Chelsea,Reece James,22,"DF,MF",16,1,1,0.07
Chelsea,Wesley Fofana,21,DF,15,1,0,0.05
Chelsea,João Félix,22,"FW,MF",16,4,0,0.47
Chelsea,Benoît Badiashile,21,DF,11,1,0,0.12
Chelsea,Edouard Mendy,30,GK,10,0,0,0.00
Chelsea,Christian Pulisic,23,"FW,DF",24,1,1,0.18
Chelsea,Lewis Hall,17,DF,9,0,0,0.12
Chelsea,Mykhailo Mudryk,21,"FW,MF",15,0,2,0.25
Chelsea,Noni Madueke,20,FW,12,1,0,0.13
Chelsea,Hakim Ziyech,29,"FW,MF",18,0,3,0.08
Chelsea,N'Golo Kanté,31,MF,7,0,1,0.05
Chelsea,Pierre-Emerick Aubameyang,33,FW,15,1,0,0.24
Chelsea,Denis Zakaria,25,MF,7,0,0,0.04
Chelsea,Carney Chukwuemeka,18,"MF,FW",14,0,0,0.10
Chelsea,Armando Broja,20,FW,12,1,0,0.26
Chelsea,David Datro Fofana,19,FW,3,0,0,0.31
Chelsea,Omari Hutchinson,18,FW,1,0,0,0.00
Chelsea,Ethan Ampadu,21,"DF,MF",0,0,0,0.00
Chelsea,Marcus Bettinelli,30,GK,0,0,0,0.00
Chelsea,Alfie Gilchrist,18,DF,0,0,0,0.00
Chelsea,Billy Gilmour,21,MF,0,0,0,0.00
Chelsea,Callum Hudson-Odoi,21,"FW,MF",0,0,0,0.00
Chelsea,Bashir Humphreys,19,DF,0,0,0,0.00
Chelsea,Harvey Vale,18,MF,0,0,0,0.00
Chelsea,Ethan Wady,20,GK,0,0,0,0.00
Everton,James Tarkowski,29,DF,38,1,1,0.08
Everton,Alex Iwobi,26,"MF,FW",38,2,7,0.07
Everton,Jordan Pickford,28,GK,37,0,1,0.00
Everton,Idrissa Gana Gueye,32,MF,33,0,1,0.03
Everton,Vitaliy Mykolenko,23,DF,34,0,0,0.02
Everton,Amadou Onana,20,MF,33,1,2,0.11
Everton,Dwight McNeil,22,"FW,MF",36,7,3,0.13
Everton,Demarai Gray,26,"FW,MF",33,4,1,0.22
Everton,Conor Coady,29,DF,24,1,1,0.04
Everton,Séamus Coleman,33,DF,23,1,0,0.02
Everton,Abdoulaye Doucouré,29,MF,25,5,2,0.14
Everton,Dominic Calvert-Lewin,25,FW,17,2,1,0.45
Everton,Nathan Patterson,20,"DF,MF",19,0,0,0.03
Everton,Anthony Gordon,21,FW,16,3,0,0.27
